Order_ID,Product_ID,Warehouse_ID,Supplier_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Order_Status,Quantity_Ordered
ORD550898,PRD1004,WH05,SUP003,15-10-2024,2024-10-22,2024-10-22,Delivered,112
ORD530879,PRD1015,WH08,SUP008,01/29/2023,2023-02-07,,Delayed,37
ORD503336,PRD1005,WH05,SUP006,2024-08-25,2024-09-04,2024-09-04,Delivered,29
ORD532829,PRD1019,WH07,SUP005,2024-07-23,2024-07-25,,Cancelled,91
ORD509747,PRD1043,WH08,SUP006,2024-01-23,2024-02-05,2024-02-06,Delivered,85
ORD533778,PRD1031,WH07,SUP002,2023-04-06,2023-04-09,,Cancelled,110
ORD534249,PRD1009,WH02,SUP009,2023-01-16,2023-01-24,,Delayed,143
ORD519714,PRD1015,WH07,SUP011,06/14/2024,2024-06-25,,Delayed,50
ORD519508,PRD1028,WH07,SUP001,2024-10-09,2024-10-19,,Delayed,9
ORD527657,PRD1037,WH02,SUP001,2024-10-02,2024-10-12,,Delayed,23
ORD500655,PRD1001,WH08,SUP008,2024-05-25,2024-06-03,,Cancelled,6
ORD534743,PRD1026,WH06,SUP002,2023-12-07,2023-12-08,,Cancelled,74
ORD540357,PRD1025,WH07,SUP001,2024-11-29,2024-12-05,2024-12-10,Delivered,184
ORD500804,PRD1001,WH05,SUP006,2023-12-26,2023-12-31,2024-01-07,Delivered,27
ORD524271,PRD1006,WH03,SUP002,2024-12-28,2025-01-10,,Cancelled,181
ORD502857,PRD1006,WH07,SUP001,2023-05-28,2023-06-03,2023-06-03,Delivered,155
ORD551272,PRD1024,WH05,SUP003,08/04/2023,2023-04-23,2023-04-28,Delivered,158
ORD550062,PRD1018,WH07,SUP010,2023-07-22,2023-08-05,,Cancelled,190
ORD549541,PRD1022,WH05,SUP012,2023-02-05,2023-02-17,2023-02-17,Delivered,25
ORD539645,PRD1008,WH03,SUP006,2023-01-04,2023-01-07,,In Transit,50
ORD520661,PRD1010,WH06,SUP010,2024-10-24,2024-10-29,2024-10-30,Delivered,185
ORD526136,PRD1036,WH03,SUP006,2024-06-06,2024-06-15,,Cancelled,18
ORD510501,PRD1004,WH05,SUP008,2024-10-23,2024-10-29,,Cancelled,34
ORD537691,PRD1046,WH03,SUP012,19/02/2024,2024-02-24,,Cancelled,76
ORD544738,PRD1030,WH01,SUP002,09-07-2024,2024-07-22,,Delayed,19
ORD536640,PRD1003,WH07,SUP007,2024-06-23,2024-07-07,2024-07-07,Delivered,90
ORD522485,PRD1040,WH05,SUP007,2023-12-09,2023-12-17,,Cancelled,139
ORD539220,PRD1012,WH04,SUP005,2024-04-25,2024-05-05,,In Transit,64
ORD502402,PRD1024,WH04,SUP012,2024-01-26,2024-02-10,,Delayed,16
ORD529621,PRD1021,WH08,SUP001,2024-06-12,2024-06-14,,In Transit,70
ORD512891,PRD1036,WH05,SUP008,2024-02-24,2024-03-09,2024-03-09,Delivered,92
ORD515380,PRD1041,WH05,SUP004,2023-07-21,2023-08-03,,In Transit,38
ORD512516,PRD1030,WH07,SUP009,2024-09-15,2024-09-23,,In Transit,151
ORD534350,PRD1036,WH08,SUP011,03/06/2024,2024-06-13,2024-06-14,Delivered,70
ORD539465,PRD1039,WH03,SUP006,16/03/2024,2024-03-29,2024-03-31,Delivered,89
ORD524861,PRD1022,WH07,SUP011,2023-02-15,2023-03-02,,Delayed,179
ORD508562,PRD1041,WH06,SUP002,2023-03-31,2023-04-13,2023-04-15,Delivered,112
ORD547308,PRD1038,WH05,SUP008,15/07/2023,2023-07-23,2023-07-23,Delivered,74
ORD522526,PRD1021,WH06,SUP003,2023-06-03,2023-06-13,2023-06-16,Delivered,16
ORD550815,PRD1020,WH08,SUP005,2023-06-04,2023-06-14,2023-06-15,Delivered,163
ORD501840,PRD1007,WH01,SUP003,2024-01-26,2024-02-03,2024-02-08,Delivered,48
ORD536578,PRD1032,WH05,SUP012,2023-10-19,2023-10-25,,Cancelled,147
ORD522132,PRD1037,WH03,SUP001,2024-11-12,2024-11-26,,In Transit,42
ORD529705,PRD1042,WH04,SUP006,2024-11-04,2024-11-06,2024-11-13,Delivered,183
ORD521775,PRD1004,WH01,SUP002,2024-07-06,2024-07-11,2024-07-11,Delivered,33
ORD515506,PRD1045,WH06,SUP011,2023-02-03,2023-02-13,,In Transit,39
ORD550797,PRD1028,WH05,SUP006,2024-09-05,2024-09-17,,Delayed,54
ORD521539,PRD1005,WH03,SUP002,2024-07-26,2024-08-08,2024-08-09,Delivered,54
ORD524815,PRD1036,WH04,SUP005,20-07-2023,2023-07-31,2023-07-31,Delivered,76
ORD501244,PRD1026,WH02,SUP012,2024-06-23,2024-06-26,,Delayed,197
ORD539800,PRD1010,WH08,SUP002,2023-08-12,2023-08-25,,Cancelled,164
ORD504827,PRD1035,WH08,SUP008,2023-05-18,2023-05-20,2023-05-25,Delivered,171
ORD505177,PRD1007,WH01,SUP006,2024-08-23,2024-08-27,,In Transit,74
ORD525567,PRD1042,WH08,SUP011,2023-05-17,2023-05-27,,Cancelled,117
ORD517117,PRD1016,WH06,SUP008,2024-11-09,2024-11-18,,Cancelled,49
ORD533374,PRD1019,WH02,SUP012,2024-10-03,2024-10-13,2024-10-13,Delivered,140
ORD543641,PRD1027,WH03,SUP004,2023-03-13,2023-03-23,,Delayed,164
ORD538023,PRD1024,WH05,SUP009,2023-10-13,2023-10-22,2023-10-27,Delivered,109
ORD548418,PRD1012,WH04,SUP011,2023-01-22,2023-02-02,,Delayed,172
ORD525238,PRD1041,WH05,SUP001,07/17/2024,2024-07-28,2024-07-28,Delivered,194
ORD528105,PRD1019,WH03,SUP009,2024-08-03,2024-08-10,,Delayed,26
ORD533918,PRD1036,WH02,SUP004,2024-05-17,2024-05-27,2024-05-27,Delivered,28
ORD506652,PRD1011,WH08,SUP009,2023-12-17,2023-12-20,,Cancelled,56
ORD539416,PRD1004,WH04,SUP011,2024-08-17,2024-08-27,2024-08-29,Delivered,187
ORD509952,PRD1002,WH08,SUP011,2023-10-08,2023-10-22,2023-10-22,Delivered,37
ORD513182,PRD1038,WH05,SUP012,2024-04-11,2024-04-21,2024-04-21,Delivered,81
ORD524050,PRD1006,WH03,SUP003,12-03-2024,2024-03-21,,Cancelled,109
ORD531174,PRD1029,WH05,SUP003,2023-01-08,2023-01-21,2023-01-28,Delivered,139
ORD542625,PRD1031,WH02,SUP003,2024-03-10,2024-03-13,2024-03-18,Delivered,48
ORD510269,PRD1010,WH02,SUP003,2023-02-22,2023-02-23,,Cancelled,78
ORD547862,PRD1008,WH05,SUP001,2024-07-03,2024-07-14,2024-07-14,Delivered,157
ORD544852,PRD1007,WH06,SUP008,2023-07-17,2023-07-23,,In Transit,135
ORD535367,PRD1013,WH04,SUP011,2023-02-17,2023-02-27,,Cancelled,58
ORD513111,PRD1008,WH06,SUP005,2024-07-03,2024-07-04,,Delayed,98
ORD538841,PRD1032,WH04,SUP005,11/20/2023,2023-11-22,,In Transit,15
ORD525520,PRD1048,WH07,SUP001,2023-02-09,2023-02-19,2023-02-22,Delivered,16
ORD513799,PRD1047,WH05,SUP003,2023-03-10,2023-03-17,,Delayed,177
ORD545790,PRD1006,WH05,SUP009,06/11/2024,2024-11-16,2024-11-16,Delivered,33
ORD518527,PRD1037,WH07,SUP008,2024-10-07,2024-10-14,2024-10-14,Delivered,167
ORD514339,PRD1010,WH02,SUP007,16-05-2024,2024-05-19,2024-05-19,Delivered,82
ORD520017,PRD1031,WH05,SUP001,2023-04-27,2023-05-11,2023-05-12,Delivered,61
ORD546203,PRD1009,WH04,SUP009,02/03/2024,2024-03-10,2024-03-11,Delivered,156
ORD507956,PRD1010,WH05,SUP010,2024-08-13,2024-08-17,,In Transit,43
ORD512473,PRD1023,WH07,SUP006,07-06-2024,2024-06-16,2024-06-23,Delivered,10
ORD500863,PRD1036,WH03,SUP001,2024-10-04,2024-10-16,,In Transit,52
ORD542291,PRD1020,WH08,SUP005,2024-08-04,2024-08-16,,In Transit,28
ORD522183,PRD1030,WH06,SUP003,2024-03-19,2024-04-01,2024-04-04,Delivered,146
ORD542603,PRD1034,WH02,SUP009,2024-05-16,2024-05-31,2024-05-31,Delivered,191
ORD505306,PRD1035,WH08,SUP011,2024-03-04,2024-03-12,2024-03-15,Delivered,14
ORD530599,PRD1013,WH02,SUP005,2024-04-25,2024-05-01,2024-05-01,Delivered,138
ORD540886,PRD1019,WH06,SUP011,2023-12-01,2023-12-08,,In Transit,198
ORD508549,PRD1039,WH08,SUP012,30-12-2024,2025-01-11,2025-01-16,Delivered,56
ORD548762,PRD1027,WH05,SUP007,2023-08-20,2023-08-22,2023-08-23,Delivered,76
ORD518457,PRD1004,WH05,SUP002,2023-11-03,2023-11-16,,In Transit,151
ORD530645,PRD1015,WH03,SUP012,2023-06-10,2023-06-20,2023-06-20,Delivered,133
ORD550877,PRD1018,WH08,SUP012,2023-02-01,2023-02-08,2023-02-09,Delivered,168
ORD501784,PRD1035,WH04,SUP006,2023-04-10,2023-04-24,,Delayed,44
ORD512188,PRD1047,WH05,SUP006,2023-07-27,2023-08-05,,Delayed,140
ORD520455,PRD1023,WH04,SUP012,06-10-2023,2023-10-21,,Delayed,128
ORD523681,PRD1037,WH07,SUP001,2024-06-27,2024-07-11,2024-07-11,Delivered,33
ORD524364,PRD1032,WH04,SUP011,2023-04-18,2023-04-20,,Cancelled,138
ORD542525,PRD1039,WH03,SUP006,05/15/2024,2024-05-29,2024-06-03,Delivered,18
ORD543053,PRD1029,WH04,SUP007,2024-11-24,2024-11-30,2024-11-30,Delivered,193
ORD540698,PRD1010,WH04,SUP004,2023-07-24,2023-08-03,,Cancelled,143
ORD517414,PRD1015,WH01,SUP001,2023-03-05,2023-03-17,,Delayed,56
ORD506170,PRD1042,WH01,SUP003,2023-08-07,2023-08-10,2023-08-10,Delivered,101
ORD542556,PRD1019,WH07,SUP010,2024-04-30,2024-05-11,,Cancelled,35
ORD549333,PRD1025,WH02,SUP004,2024-10-18,2024-10-29,2024-10-29,Delivered,124
ORD539253,PRD1047,WH04,SUP004,2024-06-18,2024-06-26,2024-06-26,Delivered,69
ORD524108,PRD1031,WH04,SUP008,2023-05-05,2023-05-16,,In Transit,147
ORD549593,PRD1020,WH02,SUP006,2023-03-19,2023-03-22,2023-03-29,Delivered,136
ORD522740,PRD1044,WH08,SUP006,2024-03-11,2024-03-15,,In Transit,191
ORD522525,PRD1023,WH05,SUP005,2024-05-05,2024-05-13,2024-05-18,Delivered,32
ORD536743,PRD1007,WH07,SUP010,2024-12-04,2024-12-11,,In Transit,65
ORD530349,PRD1036,WH04,SUP011,2023-08-12,2023-08-23,2023-08-28,Delivered,112
ORD540419,PRD1006,WH04,SUP012,2023-10-05,2023-10-13,2023-10-13,Delivered,92
ORD503115,PRD1024,WH07,SUP001,11/05/2023,2023-11-07,2023-11-08,Delivered,139
ORD544838,PRD1041,WH01,SUP007,2024-03-30,2024-04-12,2024-04-12,Delivered,51
ORD547752,PRD1021,WH01,SUP007,2024-02-22,2024-03-03,2024-03-03,Delivered,48
ORD544251,PRD1019,WH01,SUP003,24/01/2024,2024-02-04,2024-02-04,Delivered,73
ORD531337,PRD1045,WH01,SUP012,2024-10-16,2024-10-27,2024-11-01,Delivered,130
ORD546114,PRD1022,WH05,SUP008,2024-06-10,2024-06-20,,Cancelled,67
ORD500026,PRD1001,WH03,SUP007,2024-11-01,2024-11-04,2024-11-09,Delivered,72
ORD519886,PRD1033,WH06,SUP007,2023-08-05,2023-08-12,2023-08-17,Delivered,190
ORD537193,PRD1017,WH05,SUP007,2023-03-18,2023-03-26,,Delayed,169
ORD534519,PRD1041,WH01,SUP004,25/11/2023,2023-12-01,2023-12-08,Delivered,141
ORD533607,PRD1039,WH06,SUP001,2024-07-09,2024-07-24,2024-07-25,Delivered,160
ORD535532,PRD1001,WH07,SUP009,2024-07-16,2024-07-29,2024-07-29,Delivered,132
ORD535348,PRD1005,WH03,SUP006,2023-02-23,2023-03-09,,In Transit,184
ORD551140,PRD1029,WH03,SUP011,2023-03-31,2023-04-12,2023-04-12,Delivered,18
ORD525045,PRD1043,WH06,SUP002,14-05-2023,2023-05-20,2023-05-20,Delivered,102
ORD528303,PRD1045,WH08,SUP003,2023-09-02,2023-09-12,2023-09-12,Delivered,94
ORD548770,PRD1029,WH01,SUP003,2024-02-22,2024-03-08,2024-03-09,Delivered,63
ORD541050,PRD1021,WH06,SUP010,2024-03-14,2024-03-29,2024-03-29,Delivered,10
ORD528903,PRD1044,WH04,SUP006,2024-09-20,2024-09-29,2024-09-29,Delivered,174
ORD535090,PRD1004,WH06,SUP012,2024-05-06,2024-05-21,,Cancelled,102
ORD539296,PRD1031,WH06,SUP010,29/12/2023,2024-01-03,2024-01-05,Delivered,154
ORD519933,PRD1019,WH02,SUP004,2024-12-02,2024-12-10,2024-12-11,Delivered,156
ORD510782,PRD1013,WH05,SUP009,2023-05-05,2023-05-06,2023-05-06,Delivered,53
ORD533826,PRD1031,WH08,SUP009,2024-04-26,2024-05-01,,Cancelled,144
ORD547738,PRD1013,WH05,SUP010,2023-04-16,2023-04-24,2023-04-24,Delivered,120
ORD548296,PRD1016,WH01,SUP004,2023-07-26,2023-08-09,,In Transit,118
ORD548107,PRD1016,WH03,SUP009,2024-05-06,2024-05-15,,In Transit,97
ORD511388,PRD1043,WH06,SUP007,15-12-2024,2024-12-22,2024-12-22,Delivered,175
ORD551066,PRD1024,WH07,SUP009,2023-08-31,2023-09-09,2023-09-09,Delivered,101
ORD526309,PRD1028,WH07,SUP001,2024-10-25,2024-10-30,2024-11-01,Delivered,197
ORD523421,PRD1026,WH03,SUP006,2023-08-14,2023-08-25,2023-08-25,Delivered,23
ORD517176,PRD1003,WH07,SUP008,2024-04-04,2024-04-17,,Cancelled,163
ORD534366,PRD1007,WH06,SUP012,2023-10-04,2023-10-17,,Cancelled,154
ORD525624,PRD1028,WH03,SUP007,2024-04-25,2024-05-05,2024-05-12,Delivered,31
ORD529135,PRD1007,WH02,SUP002,2024-04-06,2024-04-21,,Cancelled,146
ORD549465,PRD1022,WH05,SUP010,2023-11-01,2023-11-10,2023-11-12,Delivered,52
ORD500946,PRD1023,WH03,SUP003,2024-05-30,2024-05-31,,Cancelled,21
ORD523830,PRD1005,WH05,SUP001,2023-03-20,2023-04-04,2023-04-04,Delivered,192
ORD523441,PRD1046,WH07,SUP005,2024-12-06,2024-12-21,2024-12-26,Delivered,116
ORD537495,PRD1038,WH03,SUP006,2023-08-28,2023-09-10,,In Transit,111
ORD531496,PRD1005,WH06,SUP011,2024-07-24,2024-08-04,2024-08-04,Delivered,175
ORD512892,PRD1025,WH08,SUP005,2023-10-01,2023-10-12,2023-10-12,Delivered,25
ORD518819,PRD1044,WH08,SUP002,2024-01-23,2024-02-05,2024-02-05,Delivered,111
ORD534461,PRD1003,WH01,SUP012,2024-01-31,2024-02-15,,In Transit,166
ORD546238,PRD1036,WH02,SUP012,2024-05-22,2024-06-06,,In Transit,46
ORD542338,PRD1044,WH04,SUP011,2023-09-01,2023-09-16,2023-09-16,Delivered,6
ORD541096,PRD1001,WH01,SUP001,2024-06-27,2024-07-01,2024-07-01,Delivered,143
ORD519941,PRD1042,WH02,SUP009,2024-09-16,2024-09-30,2024-09-30,Delivered,186
ORD532062,PRD1010,WH05,SUP001,2023-11-28,2023-12-09,,Delayed,167
ORD520108,PRD1021,WH03,SUP004,2024-07-12,2024-07-23,2024-07-23,Delivered,114
ORD540047,PRD1035,WH03,SUP003,28-04-2023,2023-05-13,2023-05-14,Delivered,51
ORD551904,PRD1035,WH05,SUP010,2023-10-25,2023-11-09,,Delayed,23
ORD547530,PRD1019,WH08,SUP011,2024-04-22,2024-05-03,2024-05-03,Delivered,110
ORD519386,PRD1036,WH05,SUP011,13-01-2023,2023-01-26,,In Transit,94
ORD501337,PRD1048,WH08,SUP007,06/08/2024,2024-06-15,2024-06-16,Delivered,49
ORD501037,PRD1001,WH04,SUP012,2023-08-24,2023-09-01,,In Transit,59
ORD541633,PRD1023,WH01,SUP001,2023-03-03,2023-03-10,,Cancelled,69
ORD539241,PRD1047,WH04,SUP004,2024-04-22,2024-05-01,,In Transit,163
ORD500687,PRD1006,WH07,SUP007,2023-07-03,2023-07-15,,In Transit,156
ORD546132,PRD1002,WH03,SUP001,2024-11-12,2024-11-19,2024-11-19,Delivered,166
ORD507450,PRD1025,WH02,SUP003,2023-08-29,2023-09-09,2023-09-09,Delivered,14
ORD522797,PRD1017,WH08,SUP011,2023-09-30,2023-10-13,2023-10-20,Delivered,76
ORD540133,PRD1004,WH05,SUP006,2023-02-08,2023-02-12,2023-02-12,Delivered,129
ORD542770,PRD1015,WH07,SUP002,2023-04-01,2023-04-07,2023-04-07,Delivered,171
ORD504446,PRD1046,WH03,SUP011,2024-04-06,2024-04-10,,Delayed,159
ORD522697,PRD1033,WH05,SUP010,2024-04-23,2024-05-02,2024-05-02,Delivered,121
ORD518405,PRD1006,WH08,SUP010,2023-02-22,2023-03-06,,In Transit,158
ORD542622,PRD1048,WH05,SUP007,2023-09-02,2023-09-15,,Delayed,181
ORD518939,PRD1003,WH08,SUP002,12/07/2023,2023-12-17,2023-12-18,Delivered,180
ORD539697,PRD1012,WH02,SUP011,2023-03-05,2023-03-10,,Delayed,140
ORD529778,PRD1007,WH06,SUP010,2023-06-03,2023-06-05,,Delayed,52
ORD541361,PRD1034,WH02,SUP007,02/10/2023,2023-10-10,2023-10-10,Delivered,140
ORD537951,PRD1039,WH07,SUP004,2024-04-23,2024-04-26,2024-04-26,Delivered,139
ORD512987,PRD1026,WH07,SUP003,2024-09-27,2024-10-06,2024-10-11,Delivered,135
ORD521904,PRD1044,WH02,SUP012,2023-12-01,2023-12-02,2023-12-02,Delivered,38
ORD505772,PRD1035,WH05,SUP005,2024-09-04,2024-09-13,,In Transit,68
ORD539064,PRD1035,WH06,SUP012,2024-08-22,2024-09-04,2024-09-09,Delivered,194
ORD500289,PRD1024,WH03,SUP001,2024-02-10,2024-02-21,2024-02-21,Delivered,114
ORD522841,PRD1003,WH03,SUP006,2023-10-14,2023-10-26,2023-11-02,Delivered,176
ORD528637,PRD1010,WH06,SUP003,2024-01-30,2024-01-31,2024-01-31,Delivered,156
ORD506077,PRD1028,WH03,SUP008,2023-09-17,2023-10-02,,In Transit,52
ORD531947,PRD1025,WH04,SUP012,2023-04-13,2023-04-22,2023-04-22,Delivered,184
ORD510609,PRD1010,WH03,SUP006,11/12/2024,2024-11-13,,In Transit,185
ORD503207,PRD1009,WH05,SUP002,08-02-2023,2023-02-19,2023-02-20,Delivered,191
ORD549296,PRD1014,WH07,SUP012,2024-08-31,2024-09-08,2024-09-08,Delivered,81
ORD531286,PRD1012,WH04,SUP005,2024-02-04,2024-02-17,2024-02-17,Delivered,157
ORD505565,PRD1010,WH04,SUP002,2023-01-11,2023-01-26,2023-02-02,Delivered,95
ORD541831,PRD1025,WH07,SUP012,2023-01-17,2023-01-19,,Cancelled,115
ORD502211,PRD1006,WH07,SUP010,23-01-2024,2024-01-29,2024-01-29,Delivered,60
ORD505373,PRD1044,WH06,SUP003,24/04/2023,2023-05-08,2023-05-11,Delivered,145
ORD526433,PRD1039,WH01,SUP011,17-03-2023,2023-03-26,2023-03-31,Delivered,114
ORD519140,PRD1017,WH04,SUP007,2023-05-22,2023-05-31,,In Transit,77
ORD539272,PRD1041,WH07,SUP001,11/10/2024,2024-10-24,2024-10-26,Delivered,102
ORD544330,PRD1020,WH02,SUP011,2024-06-26,2024-06-28,,Delayed,151
ORD545037,PRD1021,WH02,SUP010,2023-02-15,2023-02-19,2023-02-20,Delivered,140
ORD546928,PRD1008,WH02,SUP008,2023-01-30,2023-02-13,,In Transit,16
ORD529188,PRD1009,WH05,SUP004,2023-08-31,2023-09-01,2023-09-02,Delivered,132
ORD526648,PRD1028,WH05,SUP009,2023-05-26,2023-06-02,2023-06-04,Delivered,193
ORD534014,PRD1027,WH01,SUP001,2023-05-09,2023-05-17,2023-05-17,Delivered,127
ORD544819,PRD1036,WH01,SUP012,2023-04-22,2023-05-07,2023-05-07,Delivered,81
ORD516574,PRD1047,WH02,SUP003,2024-05-23,2024-05-31,,In Transit,189
ORD536122,PRD1036,WH01,SUP007,2024-05-27,2024-06-10,2024-06-15,Delivered,165
ORD520697,PRD1014,WH08,SUP012,2023-12-06,2023-12-14,2023-12-14,Delivered,124
ORD516920,PRD1044,WH02,SUP005,2023-02-17,2023-02-26,2023-02-26,Delivered,104
ORD550136,PRD1031,WH08,SUP002,2023-11-07,2023-11-08,2023-11-15,Delivered,163
ORD543684,PRD1022,WH04,SUP011,2024-05-07,2024-05-22,,Cancelled,136
ORD522845,PRD1023,WH06,SUP003,2024-01-01,2024-01-14,2024-01-14,Delivered,88
ORD520320,PRD1004,WH05,SUP011,2024-12-05,2024-12-14,,Delayed,120
ORD535469,PRD1040,WH02,SUP002,2024-06-24,2024-07-02,2024-07-02,Delivered,63
ORD513913,PRD1027,WH06,SUP005,2024-02-04,2024-02-19,2024-02-22,Delivered,130
ORD512286,PRD1034,WH08,SUP010,2024-04-07,2024-04-08,2024-04-08,Delivered,41
ORD504582,PRD1012,WH07,SUP008,2023-05-14,2023-05-18,2023-05-18,Delivered,178
ORD551775,PRD1030,WH06,SUP012,2024-04-10,2024-04-14,2024-04-14,Delivered,52
ORD536501,PRD1003,WH06,SUP010,2023-01-03,2023-01-04,2023-01-04,Delivered,176
ORD530351,PRD1019,WH06,SUP001,2023-12-10,2023-12-19,2023-12-24,Delivered,17
ORD513117,PRD1032,WH01,SUP003,2024-02-25,2024-03-11,,Delayed,117
ORD546832,PRD1007,WH04,SUP001,2024-07-07,2024-07-13,2024-07-18,Delivered,142
ORD503123,PRD1022,WH03,SUP001,15-06-2024,2024-06-18,2024-06-20,Delivered,64
ORD510895,PRD1012,WH07,SUP004,2024-09-03,2024-09-12,,Delayed,111
ORD540204,PRD1015,WH03,SUP001,2023-05-23,2023-05-26,,Cancelled,89
ORD540411,PRD1014,WH02,SUP005,2023-04-28,2023-05-12,,In Transit,198
ORD538514,PRD1003,WH08,SUP003,2023-11-06,2023-11-16,,In Transit,127
ORD532858,PRD1048,WH06,SUP012,17-02-2023,2023-02-27,,Delayed,23
ORD525516,PRD1035,WH01,SUP001,09/22/2024,2024-09-24,,In Transit,100
ORD548022,PRD1040,WH04,SUP003,2023-02-19,2023-03-06,2023-03-09,Delivered,101
ORD518986,PRD1006,WH06,SUP006,2023-12-30,2024-01-06,,Cancelled,99
ORD512316,PRD1028,WH08,SUP008,2024-01-06,2024-01-10,2024-01-10,Delivered,35
ORD547181,PRD1019,WH05,SUP005,2024-03-12,2024-03-25,,Delayed,89
ORD513649,PRD1013,WH01,SUP006,01/07/2023,2023-01-12,,Cancelled,83
ORD537434,PRD1020,WH02,SUP011,29-11-2024,2024-12-07,2024-12-07,Delivered,64
ORD530112,PRD1005,WH01,SUP005,11/05/2023,2023-05-16,2023-05-19,Delivered,160
ORD530984,PRD1005,WH01,SUP005,2024-11-03,2024-11-08,2024-11-13,Delivered,103
ORD527299,PRD1036,WH03,SUP006,2023-06-04,2023-06-16,2023-06-19,Delivered,57
ORD520921,PRD1038,WH03,SUP009,2023-07-12,2023-07-13,,Cancelled,179
ORD534460,PRD1026,WH03,SUP002,2023-08-28,2023-09-02,2023-09-05,Delivered,52
ORD511059,PRD1016,WH05,SUP011,2024-07-25,2024-08-06,2024-08-07,Delivered,35
ORD516762,PRD1044,WH01,SUP001,2023-12-04,2023-12-11,,Delayed,52
ORD518714,PRD1046,WH02,SUP003,2024-05-17,2024-05-24,2024-05-27,Delivered,144
ORD516815,PRD1009,WH02,SUP005,2024-09-16,2024-10-01,,Cancelled,196
ORD550776,PRD1020,WH03,SUP003,2023-09-29,2023-10-03,2023-10-08,Delivered,83
ORD520509,PRD1044,WH04,SUP012,05/23/2024,2024-06-04,,Delayed,182
ORD512703,PRD1027,WH01,SUP006,2023-05-21,2023-06-04,,Cancelled,84
ORD523355,PRD1035,WH03,SUP001,2024-07-26,2024-08-07,2024-08-07,Delivered,173
ORD536784,PRD1025,WH07,SUP002,2023-02-10,2023-02-24,,In Transit,40
ORD549479,PRD1042,WH08,SUP010,2023-02-06,2023-02-08,2023-02-08,Delivered,26
ORD544904,PRD1018,WH02,SUP011,2024-12-10,2024-12-20,2024-12-21,Delivered,83
ORD526268,PRD1030,WH07,SUP002,2024-03-07,2024-03-14,2024-03-14,Delivered,187
ORD527652,PRD1023,WH05,SUP005,09/17/2024,2024-09-29,,Delayed,15
ORD533498,PRD1030,WH07,SUP009,2024-10-20,2024-10-29,,Delayed,162
ORD500384,PRD1030,WH07,SUP011,2023-05-07,2023-05-18,2023-05-18,Delivered,100
ORD516040,PRD1037,WH01,SUP009,2023-12-17,2023-12-26,,Delayed,193
ORD512918,PRD1024,WH04,SUP003,2023-09-30,2023-10-03,2023-10-04,Delivered,182
ORD506465,PRD1023,WH01,SUP008,2024-11-03,2024-11-06,2024-11-06,Delivered,147
ORD549356,PRD1015,WH03,SUP001,2024-05-31,2024-06-05,2024-06-08,Delivered,79
ORD547646,PRD1041,WH07,SUP007,2023-04-19,2023-04-26,2023-05-03,Delivered,79
ORD525718,PRD1026,WH04,SUP004,06-12-2023,2023-12-14,,In Transit,55
ORD525386,PRD1047,WH04,SUP004,2024-08-02,2024-08-03,2024-08-03,Delivered,145
ORD508013,PRD1029,WH04,SUP001,2023-08-12,2023-08-20,2023-08-27,Delivered,98
